Asperge
Batavia
Blette
Bok choy
Cardon
Céleri-branche
Chou blanc
Chou chinois
Chou frisé
Chou pointu
Chou rouge
Chou vert
Choucroute
Choux de Bruxelles
Cresson
Crosse de fougère
Cœur de palmier
Endive
Épinard
Fanes
Fenouil
Feuille de chêne
Frisée
Laitue
Lollo rosa
Mâche
Mibuna
Mizuna
Ortie
Oseille
Pissenlit
Poireau
Pourpier
Pousses de bambou
Radicchio
Rhubarbe
Romaine
Roquette
Salade
Scarole
Sucrine
