Bleue de Hongrie
Chayote
Citrouille
Courge de Siam
Courgeron
Courgette
Doubeurre
Giraumon
Hubbard
Kabocha
Longue de Nice
Muscade de Provence
Patidou
Pâtisson
Pomarine
Pomme d’or
Potimarron
Potiron
Shishigatani
Spaghetti
Sucrine du Berry
