Anchois
Cabillaud
Calmar
Caviar
Crabe
Crevette
Dorade
Hareng
Huître
Langoustines
Limande
Lotte
Maquereau
Merlan
Morue
Moule
Nước mắm
Oursin
Pétoncle
Poissons blancs
Poissons gras
Poulpe
Sardine
Saumon
Surimi
Thon
Truite
Œufs de poisson
