Batavia
Chou blanc
Chou chinois
Chou frisé
Chou pointu
Chou rouge
Chou vert
Choucroute
Choux de Bruxelles
Cresson
Endive
Épinard
Fanes
Feuille de chêne
Frisée
Laitue
Lollo rosa
Mâche
Mibuna
Mizuna
Ortie
Oseille
Pissenlit
Pourpier
Radicchio
Romaine
Roquette
Scarole
Sucrine
