Ail
Asperge
Bardane
Batavia
Betterave
Blette
Bok choy
Cardon
Carotte
Céleri rave
Céleri-branche
Châtaigne d’eau
Chou blanc
Chou chinois
Chou frisé
Chou pointu
Chou rouge
Chou vert
Chou-rave
Choucroute
Choux de Bruxelles
Citronnelle
Cresson
Crosse de fougère
Cœur de palmier
Daïkon
Échalote
Endive
Épinard
Fanes
Fenouil
Feuille de chêne
Frisée
Laitue
Lollo rosa
Mâche
Mibuna
Mizuna
Navet
Oignon
Ortie
Oseille
Panais
Persil tubéreux
Petit oignon blanc
Pissenlit
Poireau
Pourpier
Pousses de bambou
Radicchio
Radis noir
Radis roses
Raifort
Rhubarbe
Romaine
Roquette
Rutabaga
Salade
Salsifis
Scarole
Scorsonère
Sucrine
Wasabi
