Aubergine
Avocat
Bleue de Hongrie
Chayote
Citrouille
Concombre
Cornichon
Courge de Siam
Courgeron
Courges musquées
Courges potagères
Courgette
Doubeurre
Giraumon
Gombo
Haricot vert
Hubbard
Kabocha
Longue de Nice
Melon
Muscade de Provence
Olives
Patidou
Pâtisson
Piment
Pois gourmand
Poivron
Pomarine
Pomme d’or
Potimarron
Potiron
Potirons
Shishigatani
Spaghetti
Sucrine du Berry
Tomate
