Abats
Anchois
Boudin blanc
Boudin noir
Bœuf
Cabillaud
Caille
Calmar
Canard
Caviar
Cheval
Chorizo
Crabe
Crevette
Dinde
Dorade
Escargot
Foie
Foie gras
Fruits de mer
Gélatine
Gibiers
Grenouille
Hareng
Huître
Jambon
Kangourou
Langoustines
Lapin
Lard
Limande
Lotte
Maquereau
Merlan
Morue
Moule
Mouton
Nước mắm
Oie
Os à moelle
Oursin
Pétoncle
Pintade
Poissons blancs
Poissons gras
Porc
Poule
Poulet
Poulpe
Roti de porc
Sardine
Saucisses
Saumon
Surimi
Thon
Truite
Veau
Viandes blanches
Viandes rouges
Volailles
Œufs
Œufs de poisson
